date,time,ip,urlrequested,agent,referrer,search,nation,os,browser,searchengine,spider,feed
"20191122","02:25:24","66.249.64.75","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191122","02:25:25","66.249.64.73","/sitemap_index.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191122","05:13:32","66.249.66.212","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191122","05:13:47","66.249.66.214","","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191122","06:04:55","66.249.66.201","","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191122","06:04:57","66.249.66.203","","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191122","10:28:41","66.249.66.201","","Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191122","20:34:18","94.198.159.219","","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)","","","nl","Windows 7","Safari","","",""
"20191122","20:34:18","94.198.159.219","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)","","","nl","Windows 7","Safari","","",""
"20191122","20:34:19","94.198.159.219","","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0)","","","nl","Windows 7","Mozilla","","",""
"20191122","21:03:29","66.249.66.214","","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191123","03:17:04","66.249.66.212","/sitemap_index.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191123","04:10:42","66.249.66.203","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191123","04:10:42","66.249.66.201","/post-sitemap.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191123","12:15:40","66.249.66.216","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191123","12:15:40","66.249.66.216","/page-sitemap.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191123","15:38:37","66.249.66.201","/sitemap_index.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191123","21:47:58","94.198.159.219","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1)","","","nl","Mac OS X Puma","Mozilla","","",""
"20191123","21:47:58","94.198.159.219","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1)","","","nl","Mac OS X Puma","Mozilla","","",""
"20191123","21:48:01","94.198.159.219","","Mozilla/5.0 (X11; Linux x86_64; rv:57.0)","","","nl","Unix","Mozilla","","",""
"20191124","05:05:50","66.249.66.205","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191124","05:05:51","66.249.66.205","","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191124","15:04:13","66.249.66.214","/robots.txt","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191124","15:04:13","66.249.66.216","/post-sitemap.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191124","19:26:53","66.249.66.201","/page-sitemap.xml","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)","","","","","","","Google",""
"20191124","21:04:15","167.99.247.13","author=1","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0","http://veilig-gehecht.nl///?author=1","","","Ubuntu Linux","Firefox 62","","",""
